,Conditions,Dew Point,Events,Gust Speed,Heat Index,Humidity,Precip,Pressure,Temp.,Time (EDT),Time (EST),Visibility,Wind Dir,Wind Speed,Windchill,date
12,Clear,-15.0°F,	,26.5mph,,34%,,30.17in,8.1°F,,12:51 PM,  -,West,9.2mph,-5.3°F,2014-01-07
13,Clear,-14.1°F,	,28.8mph,,35%,,30.19in,9.0°F,,1:51 PM,  -,WNW,16.1mph,-8.5°F,2014-01-07
14,Clear,-11.9°F,	,23.0mph,,37%,,30.22in,10.0°F,,2:51 PM,  -,West,13.8mph,-5.9°F,2014-01-07
15,Clear,-13.0°F,	,29.9mph,,36%,,30.22in,9.0°F,,3:51 PM,  -,West,17.3mph,-9.0°F,2014-01-07
16,Clear,-11.0°F,	,24.2mph,,40%,,30.23in,9.0°F,,4:51 PM,  -,WNW,11.5mph,-5.9°F,2014-01-07
17,Clear,-11.0°F,	,26.5mph,,40%,,30.25in,9.0°F,,5:51 PM,  -,WNW,15.0mph,-7.9°F,2014-01-07
18,Clear,-9.9°F,	,25.3mph,,42%,,30.27in,9.0°F,,6:51 PM,10.0mi,West,16.1mph,-8.5°F,2014-01-07
19,Clear,-9.9°F,	,21.9mph,,42%,,30.30in,9.0°F,,7:51 PM,10.0mi,Variable,4.6mph,0.6°F,2014-01-07
20,Clear,-9.0°F,	,  -,,44%,,30.34in,9.0°F,,8:51 PM,10.0mi,WNW,5.8mph,-0.9°F,2014-01-07
21,Clear,-9.0°F,	,23.0mph,,44%,,30.36in,9.0°F,,9:51 PM,10.0mi,West,4.6mph,0.6°F,2014-01-07
22,Clear,-9.0°F,	,18.4mph,,44%,,30.36in,9.0°F,,10:51 PM,10.0mi,Variable,6.9mph,-2.2°F,2014-01-07
23,Clear,-8.0°F,	,  -,,46%,,30.38in,9.0°F,,11:51 PM,10.0mi,Variable,4.6mph,0.6°F,2014-01-07
0,Clear,-8.0°F,	,  -,,46%,,30.40in,9.0°F,,12:51 AM,10.0mi,North,  -,  -,2014-01-08
1,Clear,-8.0°F,	,  -,,46%,,30.42in,9.0°F,,1:51 AM,10.0mi,WNW,8.1mph,-3.2°F,2014-01-08
2,Clear,-7.1°F,	,19.6mph,,48%,,30.45in,9.0°F,,2:51 AM,10.0mi,WNW,10.4mph,-5.1°F,2014-01-08
3,Clear,-7.1°F,	,  -,,48%,,30.46in,9.0°F,,3:51 AM,10.0mi,Variable,4.6mph,0.6°F,2014-01-08
4,Clear,-6.0°F,	,19.6mph,,51%,,30.47in,9.0°F,,4:51 AM,10.0mi,WNW,12.7mph,-6.6°F,2014-01-08
5,Clear,-6.0°F,	,20.7mph,,51%,,30.45in,9.0°F,,5:51 AM,10.0mi,WNW,12.7mph,-6.6°F,2014-01-08
6,Clear,-6.0°F,	,20.7mph,,51%,,30.47in,9.0°F,,6:51 AM,10.0mi,WNW,12.7mph,-6.6°F,2014-01-08
7,Clear,-5.1°F,	,  -,,53%,,30.52in,9.0°F,,7:51 AM,10.0mi,Variable,6.9mph,-2.2°F,2014-01-08
8,Clear,-5.1°F,	,16.1mph,,51%,,30.54in,10.0°F,,8:51 AM,10.0mi,Variable,4.6mph,1.8°F,2014-01-08
9,Clear,-5.1°F,	,  -,,46%,,30.56in,12.0°F,,9:51 AM,10.0mi,West,10.4mph,-1.3°F,2014-01-08
10,Clear,-4.0°F,	,  -,,45%,,30.53in,14.0°F,,10:51 AM,10.0mi,WNW,9.2mph,2.0°F,2014-01-08
11,Scattered Clouds,-2.9°F,	,  -,,43%,,30.49in,16.0°F,,11:51 AM,10.0mi,Variable,4.6mph,8.8°F,2014-01-08
12,Clear,-2.0°F,	,  -,,40%,,		-,19.0°F,,12:51 PM,10.0mi,WNW,5.8mph,11.1°F,2014-01-08
13,Overcast,-2.0°F,	,  -,,38%,,30.47in,19.9°F,,1:51 PM,10.0mi,WNW,5.8mph,12.1°F,2014-01-08
14,Scattered Clouds,-0.9°F,	,  -,,38%,,30.47in,21.0°F,,2:51 PM,10.0mi,Variable,4.6mph,14.6°F,2014-01-08
15,Clear,-0.0°F,	,  -,,40%,,30.47in,21.0°F,,3:51 PM,10.0mi,Variable,5.8mph,13.4°F,2014-01-08
